track_id,artist_name,track_name,release,played_at
6MXOP2futpG84fk4Oqou5Y,Clannad,In a Lifetime - Remastered,NA,2020-02-29T23:00:57Z
3HAx7mDYBoUlbyiC9E9481,Stash,Sadness,2005,2020-02-29T22:57:49Z
4ha9ajL4Kz98uldAfuos6p,U2,With Or Without You - Remastered,1987,2020-02-29T21:12:08Z
6qjZbU7WQbnyipB8I8nlsa,Gruppo Sportivo,Hey Girl,1978,2020-02-29T20:34:27Z
2A8dRKcqpj4JfsayAzXomB,Testeagles,Turn That Shit Up,2000,2020-02-29T19:40:29Z
3W3BNZa7kMEhhXGM5WqPNV,The Scene,Blauw,2007,2020-02-29T19:37:17Z
6ul4ywM4maB0WIPq0pYEJh,The Scene,Geloof,2007,2020-02-29T17:32:00Z
67iAlVNDDdddxqSD2EZhFs,The Proclaimers,I'm Gonna Be (500 Miles),NA,2020-02-29T16:06:15Z
78FHUZRbFDCG6VkRAQdFLm,Mr. Mister,Broken Wings,1985,2020-02-29T16:02:05Z
5ghIJDpPoe3CfHMGu71E6T,Nirvana,Smells Like Teen Spirit,1991,2020-02-27T22:56:30Z
05RgAMGypEvqhNs5hPCbMS,Van Halen,Panama - 2015 Remaster,1984,2020-02-27T22:51:39Z
2lFFiNm0XtgJ6wkdncTB4k,The Cars,Drive,NA,2020-02-27T22:46:50Z
37f4ITSlgPX81ad2EvmVQr,Rachel Platten,Fight Song,2016,2020-02-27T22:42:55Z
1xcOEEuHIsSwKJ3ujqoDjz,Robert Palmer,Spanish Moon,1976,2020-02-27T13:11:06Z
0bSr5pybJSlgG5OZH441gF,Robert Palmer,Simply Irresistible,1988,2020-02-27T13:10:00Z
5izGeTxueiFX1UPFGohY9w,Robert Palmer,Addicted To Love,1985,2020-02-27T13:05:44Z
2CdS3DRqWR5LAhy4hM5X9W,James,Laid,NA,2020-02-27T12:58:57Z
6zEf9xxlJpOgTgFgFz0Qos,Simple Minds,Love Song,1981,2020-02-25T23:59:28Z
1uiktZkzFSVDhp7i73faz2,The Icicle Works,Whisper to a Scream (Birds Fly) - Single Version,2006,2020-02-25T03:00:09Z
1qQSRy9DjrGh3jtsSCU6B1,INXS,Never Tear Us Apart,NA,2020-02-25T02:54:05Z
0b4Vn9aOGowJ3xr4SII7n6,Sugar,If I Can't Change Your Mind,NA,2020-02-25T02:50:59Z
5jE48hhRu8E6zBDPRSkEq7,Meghan Trainor,All About That Bass,2015,2020-02-25T02:10:23Z
0qvzXomUDJVaUboy2wMfiS,Niall Horan,This Town,2017,2020-02-25T02:07:14Z
3eoyz3jZOHhko7hEwtEdnf,Rachel Platten,Lone Ranger,2016,2020-02-25T02:03:21Z
3i6qNxyVgIdUZTTi5m25EM,Meredith Brooks,Bitch,1997,2020-02-25T01:56:23Z
7wpYSigAhQeZp3cdsMQ3Af,Bush,Glycerine,2014,2020-02-25T01:51:49Z
1r8oPEXqnhUVgkUkJNqEuF,Joy Division,Love Will Tear Us Apart - 2010 Remaster,NA,2020-02-25T01:45:39Z
34sL4eaI8UKWOyYpCvoboU,U2,All I Want Is You,1988,2020-02-24T19:41:16Z
3Oa8vnNXStoOHLbJwwMEDP,Echo & the Bunnymen,Lips Like Sugar,1987,2020-02-24T19:34:46Z
3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,Demons,2012,2020-02-24T02:12:28Z
6Fba9RZtC6vTY814JToDtP,Van Halen,Jump,1996,2020-02-24T01:51:15Z
5DiXcVovI0FcY2s0icWWUu,Counting Crows,Mr. Jones,1993,2020-02-24T01:17:47Z
4WnYuVFXe6Si4fZqkxbnvS,Hootie & The Blowfish,Hold My Hand,1994,2020-02-24T01:13:15Z
1uzWOoJdADfstQuFtQFTUn,Deep Blue Something,Breakfast At Tiffany's,1995,2020-02-24T01:06:44Z
1THJhAnLPNC4YNq3nL253S,Bloc Party,The Love Within,2016,2020-02-22T22:53:03Z
